loly_f001|Bravo lo hiciste muy bien este es un animal.|Bravo lo hiciste muy bien este es un animal.
loly_f002|Sí. Bravo. Lo hiciste muy bien.|Sí. Bravo. Lo hiciste muy bien.
loly_f003|Deshacerlo.|Deshacerlo.
loly_f004|Arrastra la planta hacia el cuadrado.|Arrastra la planta hacia el cuadrado.
loly_f005|Miren aquí hay muchas plantas. Todas las plantas son seres vivos. Las plantas necesitan el calor del sol. Además respiran aire. Y también necesitan agua para vivir. Sabes lo que pasa cuando no les da la luz del sol el agua o el aire. Mueren. Por eso cuidemos con esmero las plantas. Manos ala obra.|Miren aquí hay muchas plantas. Todas las plantas son seres vivos. Las plantas necesitan el calor del sol. Además respiran aire. Y también necesitan agua para vivir. Sabes lo que pasa cuando no les da la luz del sol el agua o el aire. Mueren. Por eso cuidemos con esmero las plantas. Manos ala obra.
loly_f006|Le brindaste venir la señora de tus senos tu frutos mejores y esforzarse como los mayores un sendero de prosperidad.|Le brindaste venir la señora de tus senos tu frutos mejores y esforzarse como los mayores un sendero de prosperidad.
loly_f007|Bienvenidos.|Bienvenidos.
loly_f008|Vemos juego.|Vemos juego.
loly_f009|Himno.|Himno.
loly_f010|Regresar.|Regresar.
loly_f011|Salir.|Salir.
loly_f012|Servicio reemplazada en la costa son tus hijos coraje y pujanza rebeldía orgullo y templanza fortaleza trabajo.|Servicio reemplazada en la costa son tus hijos coraje y pujanza rebeldía orgullo y templanza fortaleza trabajo.
loly_f013|Estupendo. Me ha gustado lo que acabas de hacer.|Estupendo. Me ha gustado lo que acabas de hacer.
loly_f014|Vibrante lago sierra cantando aprendo hablar. Qué vibrante helados tierra mía canta un panel sobre qué o pasado como prenda tu novio.|Vibrante lago sierra cantando aprendo hablar. Qué vibrante helados tierra mía canta un panel sobre qué o pasado como prenda tu novio.
loly_f015|Un pasado glorioso es ejemplo de quevedo semilla latente recuerdo de honor en la mente en tu historia preferida.|Un pasado glorioso es ejemplo de quevedo semilla latente recuerdo de honor en la mente en tu historia preferida.
loly_f016|Un puñado de hombres valientes de recónditos lares llegaron y al poblado.|Un puñado de hombres valientes de recónditos lares llegaron y al poblado.
